# section 6 內嵌字串(offset<TAB>english);由 op_77/78/7B 解出
20	 doesn't have enough spell power.
86	 casts 
227	 but it didn't seem to work.
287	Nothing happens.
351	That didn't do any good.
417	 bandages 
436	 and now 
450	 feels better.
484	The item has no use here.
504	 tries to learn 
510	k pukpg
517	 and 
531	succeeds!
544	fails!
554	 is reenergized!
877	 on 
896	the party and now everyone
921	 and now 
942	 looks better for a dead person.
966	 feels better.
1333	 and 
1350	the 
1375	 misses/ an attack!
1412	the party 
1504	 at the 
1545	monster
1731	 and hits 
1756	 of them
1763	 for 
1799	 point
1819	 each
1829	, killing 
1866	 of them.
1880	 at 
1901	the party
2045	 and hits 
2070	 of you
2076	 for 
2112	 point
2132	 each
2253	 and the party is
2282	 imprisoned!
2352	 and the party is
2381	 pushed away! 
2470	Zap! The 
2481	 is recharged!
2493	You can't recharge that.
2709	 but the spell couldn't reach!
2760	, but it had no effect at all!
2850	gctpwtauhmi
2981	 and a 
2992	 appears!
