# 戦闘画面 UI ラベル + モンスター名（示範；無対応は英語へフォールバック）。
# english	japanese
Encounter	遭遇
Will the party:	パーティは：
Fight	戦う
Quickly fight	素早く戦う
Run	逃げる
Advance	前進
Attack	攻撃
F:Fight  R:Run	F:戦う  R:逃げる
The party flees!	パーティは逃げ出した！
# 戦闘ログのテンプレート（%s/%s/%d の順序固定：攻撃者/対象/ダメージ、入れ替え禁止）
%s attacks %s for %d damage	%s は %s に %d ポイントのダメージを与えた
%s attacks %s and misses	%s は %s への攻撃を外した
, stunning him	、気絶させた
, killing him	、倒した
%d %s (%d left)	%d 体の %s（残り %d）
# 制御系呪文のログ（手冊 docs/33 に基づく；持続/逃走は remake 設計）
Not enough power	マナが足りない
%s is disoriented!	%s は方向を見失った！
%s flees in terror!	%s は恐怖で逃げ出した！
%s is disarmed!	%s は武装を解除された！
%s is too disoriented to act!	%s は混乱して行動できない！
%s casts %s	%s は %s を唱えた
Victory!	勝利！
The party has fallen.	パーティは全滅した。
Each member gets 80 experience points for combat.	各メンバーは戦闘経験値を80点獲得した。
Each member +80 XP	各メンバー +80 XP
[ continue ]	［続行］
# モンスター名（X68000 日本語版 MONS ファイルより抽出。出典 docs/46。
#   符号化: Shift-JIS、各バイトのニブルを入れ替えた「ニブルスワップ SJIS」。
#   MONS 0x211F から 0x3C バイト間隔の固定長配列。DOS res31 の並び順と 1:1 一致。
#   信頼度: 高（実機日本語版から抽出、英語キーと配列位置で対位）。）
Robber	強盗
King's Guard	王の衛兵
Soldier	兵士
Bandit	追いはぎ
Pikeman	槍兵
Loon	狂人
Fanatic	狂信者
Yonderboy	チンピラ
Born Loser	流浪者
Unjustly Accused	不浄の霊魂
Innocent Man	殉教者
Giant Spider	大グモ
Wild Dog	野犬
Spider	クモ
Cannibal	人食い
Big Dog	大きな犬
Wild hound	狂った猟犬
Rock Spider	ロック・スパイダー
Wolf	狼
Jail Keeper	番人
Drunk	飲んだくれ
Humbaba	ハンババ
Gladiator	剣闘士
%s reaches level %d!	%s はレベル %d になった!
